BS, S:37858
2.24,5.14
7.75,5.26
29.54,6.54
52.12,9.79
71.78,18.38
87.32,23.37
37.41,25.4
36.85,26.99
23.82,27.25
22.17,27.06
18.06,26.18
14.61,25.06
16.41,24.55
24.25,24.91
36.64,26.57
43.2,28.46
34.05,35.11
33.67,33.1
3.13,30.01
14.62,28.57
17.52,26.87
19.61,27.04
25.99,26.52
32.31,27.68
33.87,29.13
31.86,30.68
21,29.87
17.35,28.84
22.86,28.53
24.55,28.18
23.88,28.45
22.82,28.4
19.43,28.59
19.09,28.2
20.09,28.24
19.9,28.35
18.56,28.68
15.56,28.91
11.1,28.93
7.27,28.83
4.54,28.66
2.94,28.63
0.57,28.71
-1.94,28.65
-3.42,28.53
-3.81,28.41
-4.09,28.23
-3.71,28.13
-3.91,28.06
-4.24,27.98
-3.44,27.95
-66.77,27.95
-96.43,24.55
-71.08,15.89
-20.1,7.85
-1.02,6.71
-0.87,8.65
-10.75,9.87
-19.92,9.72
-23.26,7.98
-20.52,7.64
-16.78,7.06
-13.81,6.9
-14.63,7.4
-15.7,7.37
-15.12,6.95
-17.21,7.24
-17.41,6.71
-15.5,6.68
-15.62,6.72
-15.45,6.68
-14.71,6.61
-14.84,6.45
-14.03,6.34
-12.78,6.3
-12.68,6.22
-11.98,6.2
-11.06,6.3
-11.57,6.35
-11.53,6.28
-10.79,6.25
-10.77,6.16
-10.24,6.07
-8.73,5.96
-8.62,6.1
-8.18,6.02
-7.46,6.09
-7.54,6.37
-8.34,6.63
-9.4,6.52
-10.42,6.34
-9.99,6.17
-9.21,6.04
-8.82,5.95
-7.84,5.92
-6.75,5.97
-6.88,6.14
-6.69,6.24
-7.2,6.32
-7.7,6.33
-8.31,6.27
-8.22,6.18
-8.14,6.1
-7.83,6.01
-7.53,5.99
-6.69,5.98
-6.09,5.96
-5.97,6.04
-5.25,6.03
-5.21,6.02
-5.49,6.07
-5.01,6.02
-4.81,6.02
-4.59,6.01
-4.16,6
-3.98,6
-3.83,6.08
-3.85,6.15
-3.99,6.08
-3.54,5.92
-3.33,5.99
-3.29,5.99
-3.39,6
-3.12,5.98
-2.6,5.89
-1.93,5.79
-0.77,5.77
0.12,5.67
0.74,5.58
1.39,5.41
1.82,5.24
BE,
BS, S:37859
2.14,5.22
8.2,5.32
30.28,6.58
52.87,9.71
71.42,18.24
88.11,23.24
40.48,25.32
35,26.92
22.46,27.19
20.98,26.96
18.88,26.16
15.91,25.06
18.76,24.84
28.33,25.46
40.62,26.68
44.98,28.93
38.4,36.81
31.76,31.86
1.05,29.88
16.17,28.88
16.8,26.91
18.87,26.54
25.23,26.98
32.25,28.36
31.41,29.78
31.33,31.35
16.82,29.93
14.17,28.74
17.96,27.81
22.33,27.61
24.04,27.7
24.52,28.13
23.23,28.4
21.83,28.73
21.01,28.72
17.75,28.8
15.5,28.99
14.06,31.19
12.72,29.66
3.21,28.77
5.29,28.68
3.85,28.29
3.89,28.31
3.6,28.14
3.56,28.05
4.06,27.95
4.94,27.97
5.22,27.96
5.89,27.87
7.29,27.88
8.75,27.9
-61.12,27.74
-88.27,24.1
-68.18,15.39
-17.02,8.12
-1.6,7.63
-5.51,8.49
